ID,Ride,Entity,Latitude,Longitude
7a09a2f0-e226-4f3e-86f8-2598ab67ec44,Luigi's Rollickin' Roadsters,ATTRACTION,33.805534,-117.918544
6ac8a892-675d-4365-8d7a-2a3d7e0cd4ff,"Main Street, U.S.A. Holiday Tree Lighting",SHOW,33.8105,-117.918972
ff52cb64-c1d5-4feb-9d43-5dbd429bac81,Haunted Mansion,ATTRACTION,33.811656,-117.921873
3c8d7efa-b0a5-4e2d-811e-9da29d65f2f0,The Tropical Hideaway Express,RESTAURANT,33.81147,-117.91955
77f205a4-d482-4d91-a5ff-71e54a086ad2,Soarin' Around the World,ATTRACTION,33.8082495017,-117.9200000105
3220fd76-38e4-49a4-afa3-4842c07203fa,Jambalaya Jazz,SHOW,33.811363,-117.921059
b73fa349-56e7-4b7f-b5ce-62385382b235,The Dickens Yuletide Band at Fantasyland Theatre,SHOW,33.814595,-117.91879
9167db1d-e5e7-46da-a07f-ae30a87bc4c4,Space Mountain,ATTRACTION,33.811548,-117.917056
cbd85f5f-27c5-41b4-94aa-d25c8883ee3c,Disney Jr. Dance Party!,SHOW,33.8075887,-117.9183444
2459a357-2b20-4445-8476-6a9a7e5eab54,Lamplight Lounge - Boardwalk Dining,RESTAURANT,33.80517,-117.920927
3178251f-4570-4ebf-ae2f-fb28edc7534f,Mickey's Mix Magic with Projection,SHOW,33.8123896,-117.9189732
3638ac09-9fce-4a43-8c79-8ebbe17afce2,"""it's a small world""",ATTRACTION,33.8144,-117.917782
640525ab-75db-4f3c-b917-27ecb7b5ef97,Jambalaya Jazz Band on the Mark Twain Riverboat,SHOW,33.811687,-117.921151
9212c98b-3638-4f0b-bf42-2e2848330e1d,Pearly Band at Castle Courtyard,SHOW,33.813093,-117.918967
228b9736-f889-469f-92f7-0e89bf150d5c,Disneyland Band at Castle Promenade,SHOW,33.812523,-117.918969
e9ef1443-c735-43b6-81c6-45e53527cf93,Fire of the Rising Moons,SHOW,33.814816,-117.921212
4c570f5a-c5da-4388-9804-dd56123d18ce,Meet Disney Pals on Buena Vista Street,SHOW,33.80785,-117.918943
35714874-3897-4f15-94cc-f958b379d1c7,World of Color - One (Special Ticketed Event),SHOW,33.80564575,-117.9214083
78568c55-6dcb-4893-a14e-ba7ed9bddaff,"Disneyland Band at ""it's a small world"" Promenade",SHOW,33.814016,-117.917863
0f655e3b-3fd4-453c-bac3-cf68c158fc2e,Pooh Corner,RESTAURANT,33.8122770331,-117.9231922808
ad7d1927-7e62-47bd-910f-23135fd1371d,Trolley Treats,RESTAURANT,33.807995,-117.91906
ca4b4068-02a7-4d98-92a6-f781ad5711d3,Pym Tasting Lab,RESTAURANT,33.806723,-117.917516
51409c4f-748e-4020-bc9a-8e210b159a86,Paseo,RESTAURANT,33.8089268,-117.9228063
9e7de30b-4c57-44be-bafd-a539a6057571,Bing Bong's Sweet Stuff,RESTAURANT,33.8049357279,-117.9225691313
632bcc13-e923-4ed0-bfe8-b937e3d1b435,Candy Palace and Candy Kitchen,RESTAURANT,33.8112866142,-117.9190407415
884a2e75-ef8a-4676-b65c-67320e732bb1,Port of San Fransokyo Cervecería,RESTAURANT,33.805683,-117.920311
baab0186-4b1e-4b38-af57-237ca65f8ece,Cozy Cone Motel 4 - Frozen Cone-coctions,RESTAURANT,33.805873,-117.918645
f0f57b5c-5bc5-49d6-8b7f-34e4aa03c2e8,Tiana’s Palace,RESTAURANT,33.811266,-117.921516
778f814e-7113-4599-adce-b598a39d6cd9,Aunt Cass Café,RESTAURANT,33.8058566014,-117.9200660233
4871e66f-45d7-4cab-831d-4540e8b17a32,Naples Ristorante e Bar,RESTAURANT,33.808879,-117.922094
52eb4ed4-499f-4615-8300-786dc7113320,Great Maple Modern American Eatery,RESTAURANT,33.8065353859,-117.9244257799
f8d61baa-dc1a-4e82-ab6b-f24bdd83e6e1,Café Daisy,RESTAURANT,33.81547,-117.918682
fc7e5343-ce63-4b1a-88fa-f51909057cd4,Céntrico,RESTAURANT,33.808982,-117.922977
dc2e7388-5618-4fe3-8287-096270978829,Cozy Cone Motel 5 - Popcorn Scoop,RESTAURANT,33.805873,-117.918645
81de6626-0499-4c18-a3ef-366d782eb35d,Din Tai Fung,RESTAURANT,33.808569,-117.925395
2cff2dc7-a3c0-405b-ad61-3721a9a0941c,Splitsville Luxury Lanes™ – Dining,RESTAURANT,33.809328,-117.923232
36c65924-14eb-4c1e-a03d-2b0b29f6ff5d,Palm Breeze Bar,RESTAURANT,33.807957,-117.927556
8181b4a5-5427-4323-8d77-90d5d6cb1f93,Jazz Kitchen Coastal Grill & Patio,RESTAURANT,33.8090491312,-117.9235986239
59647168-d239-4161-8b24-92eb128e96fb,Chip 'n' Dale's GADGETcoaster,ATTRACTION,33.815296,-117.919157
fdf0e3b1-2eeb-42b4-9516-5d43463d021e,The Dapper Dans,SHOW,33.810308,-117.918962
2da71a81-b231-42ec-8720-86a91c0dd39b,The Coffee House,RESTAURANT,33.8088219706,-117.9272663008
